"","x"
"1",1023.00332594235
"2",5208.81990764495
"3",4451.72813852814
"4",2416.37482319661
"5",6466.82041522491
"6",7022.21393596987
"7",10582.971157138
"8",12700.6266978923
"9",12660.8785834739
"10",14261.9074794639
"11",17246.0200860832
"12",21207.356114024
"13",17884.3061147796
"14",10345.2991452991
"15",9979.67651791007
"16",-8124.57659013926
"17",-8798.52499179148
"18",-4556.74412885774
"19",-134.657769994867
"20",6643.38727966189
"21",9986.81263996019
"22",1368.58116564299
"23",19149.4174460981
